UMAP1,UMAP2,CellType,Group
26.6265925031174,3.34277272652587,cancercells,PCR
26.5677574529257,3.55782846437026,cancercells,PCR
26.5597181184703,3.74341478254463,cancercells,PCR
26.4676132113711,3.95594300546152,cancercells,PCR
26.378353151552,4.1336223902144,cancercells,PCR
26.3048794798371,4.34427880580171,cancercells,PCR
26.1916875626719,4.6746410795885,cancercells,PCR
26.1236675328316,4.90532845996227,cancercells,PCR
25.9823037003065,5.14437658124204,cancercells,PCR
25.9536911563586,5.3477456490706,cancercells,PCR
25.7874113661383,5.50749553875225,cancercells,PCR
25.7089613056268,5.68737336504205,cancercells,PCR
25.6601687847797,5.95375630887807,cancercells,PCR
25.4435613552135,6.13828602245259,cancercells,PCR
25.3973430476658,6.44067557513755,cancercells,PCR
25.3563292418724,6.75678684749221,cancercells,PCR
25.1960075175249,6.83943891189697,cancercells,PCR
25.1168004966413,7.0030577780988,cancercells,PCR
24.6380450142682,7.1024064123598,cancercells,PCR
25.0877261678583,7.46445133730417,cancercells,PCR
24.9487484474792,7.541631247711,cancercells,PCR
24.4377287822783,7.47626070458123,cancercells,PCR
24.9123920129529,7.86721576412045,cancercells,PCR
24.2193816612875,7.79722527018533,cancercells,PCR
24.7776982244753,8.23525276238301,cancercells,PCR
23.9930623294276,7.98867201092457,cancercells,PCR
24.2962706154563,8.33776538545884,cancercells,PCR
24.3082735770409,8.5982262036138,cancercells,PCR
23.7360656393442,8.31970962745642,cancercells,PCR
24.0017687027005,8.77307659901746,cancercells,PCR
24.0953906009991,9.12088463651238,cancercells,PCR
23.4875936671581,8.93897594918942,cancercells,PCR
23.7040423990493,9.25341358282437,cancercells,PCR
23.4226357184844,9.32877688370952,cancercells,PCR
23.3330114683957,9.59128553542666,cancercells,PCR
23.4000723871812,9.90731860235821,cancercells,PCR
23.14913306657,9.96914251241698,cancercells,PCR
23.0687415491062,10.1087787230334,cancercells,PCR
22.9196459548473,10.3416486874243,cancercells,PCR
22.8254515584704,10.544039839437,cancercells,PCR
22.6296703294307,10.7401474908549,cancercells,PCR
22.5408056292309,11.0161512798133,cancercells,PCR
22.3287257074631,11.2409302146907,cancercells,PCR
22.1159756400636,11.4545260181835,cancercells,PCR
22.0888739685451,11.8249833407325,cancercells,PCR
21.9513097423708,12.0880519819561,cancercells,PCR
21.6085611328559,12.1978645934588,cancercells,PCR
21.7422289178549,12.5131875678435,cancercells,PCR
21.872369839663,12.4301907258033,cancercells,PCR
21.3847109596094,12.5193963982607,cancercells,PCR
21.3409739262261,12.5949683037863,cancercells,PCR
21.5245774174026,12.7845295998522,cancercells,PCR
21.4995282976306,12.9807112386136,cancercells,PCR
21.5813563658327,13.1094576273379,cancercells,PCR
21.3296992766442,13.3625003687745,cancercells,PCR
21.1056214579508,13.5631638510422,cancercells,PCR
20.9016929599072,13.9134422641028,cancercells,PCR
20.4880287005462,14.3593603391812,cancercells,PCR
20.2987750980555,14.5758728564438,cancercells,PCR
20.0497420022428,14.9549531453656,cancercells,PCR
19.8592755362849,15.1457618501744,cancercells,PCR
19.6600288565403,15.1749339618562,cancercells,PCR
19.4206267137124,15.4642839077649,cancercells,PCR
