PCR_Name,RD_Name,Similarity
cancercellspatient011,cancercellspatient001,0.952380952380952
regulatorytcellspatient011,regulatorytcellspatient001,0.961538461538462
effectortcellspatient011,effectortcellspatient001,0.958333333333333
macrophagespatient011,macrophagespatient001,0.952380952380952
endothelialcellspatient011,endothelialcellspatient001,0.961538461538462
fibroblastpatient011,fibroblastpatient001,0.95
cancercellspatient030,cancercellspatient037,0.952380952380952
regulatorytcellspatient030,regulatorytcellspatient037,0.961538461538462
effectortcellspatient030,effectortcellspatient037,0.958333333333333
macrophagespatient030,macrophagespatient037,0.952380952380952
endothelialcellspatient030,endothelialcellspatient037,0.961538461538462
fibroblastpatient030,fibroblastpatient037,0.95
cancercellspatient032,cancercellspatient037,0.952380952380952
regulatorytcellspatient032,regulatorytcellspatient037,0.961538461538462
effectortcellspatient032,effectortcellspatient037,0.958333333333333
macrophagespatient032,macrophagespatient037,0.952380952380952
endothelialcellspatient032,endothelialcellspatient037,0.961538461538462
fibroblastpatient032,fibroblastpatient037,0.95
cancercellspatient046,cancercellspatient043,0.952380952380952
regulatorytcellspatient046,regulatorytcellspatient043,0.961538461538462
effectortcellspatient046,effectortcellspatient043,0.958333333333333
macrophagespatient046,macrophagespatient043,0.952380952380952
endothelialcellspatient046,endothelialcellspatient043,0.961538461538462
fibroblastpatient046,fibroblastpatient043,0.95
cancercellspatient048,cancercellspatient028,0.952380952380952
regulatorytcellspatient048,regulatorytcellspatient028,0.961538461538462
effectortcellspatient048,effectortcellspatient028,0.958333333333333
macrophagespatient048,macrophagespatient028,0.952380952380952
endothelialcellspatient048,endothelialcellspatient028,0.961538461538462
fibroblastpatient048,fibroblastpatient028,0.95
cancercellspatient053,cancercellspatient003,0.952380952380952
regulatorytcellspatient053,regulatorytcellspatient003,0.961538461538462
effectortcellspatient053,effectortcellspatient003,0.958333333333333
macrophagespatient053,macrophagespatient003,0.952380952380952
endothelialcellspatient053,endothelialcellspatient003,0.961538461538462
fibroblastpatient053,fibroblastpatient003,0.95
cancercellspatient055,cancercellspatient050,0.952380952380952
regulatorytcellspatient055,regulatorytcellspatient050,0.961538461538462
effectortcellspatient055,effectortcellspatient050,0.958333333333333
macrophagespatient055,macrophagespatient050,0.952380952380952
endothelialcellspatient055,endothelialcellspatient050,0.961538461538462
fibroblastpatient055,fibroblastpatient050,0.95
cancercellspatient060,cancercellspatient050,0.952380952380952
regulatorytcellspatient060,regulatorytcellspatient050,0.961538461538462
effectortcellspatient060,effectortcellspatient050,0.958333333333333
macrophagespatient060,macrophagespatient050,0.952380952380952
endothelialcellspatient060,endothelialcellspatient050,0.961538461538462
fibroblastpatient060,fibroblastpatient050,0.95
cancercellspatient063,cancercellspatient003,0.952380952380952
regulatorytcellspatient063,regulatorytcellspatient003,0.961538461538462
effectortcellspatient063,effectortcellspatient003,0.958333333333333
macrophagespatient063,macrophagespatient003,0.952380952380952
endothelialcellspatient063,endothelialcellspatient003,0.961538461538462
fibroblastpatient063,fibroblastpatient003,0.95
cancercellspatient068,cancercellspatient028,0.952380952380952
regulatorytcellspatient068,regulatorytcellspatient028,0.961538461538462
effectortcellspatient068,effectortcellspatient028,0.958333333333333
macrophagespatient068,macrophagespatient028,0.952380952380952
endothelialcellspatient068,endothelialcellspatient028,0.961538461538462
fibroblastpatient068,fibroblastpatient028,0.95
cancercellspatient088,cancercellspatient028,0.952380952380952
regulatorytcellspatient088,regulatorytcellspatient028,0.961538461538462
effectortcellspatient088,effectortcellspatient028,0.958333333333333
macrophagespatient088,macrophagespatient028,0.952380952380952
endothelialcellspatient088,endothelialcellspatient028,0.961538461538462
fibroblastpatient088,fibroblastpatient028,0.95
cancercellspatient101,cancercellspatient001,0.952380952380952
regulatorytcellspatient101,regulatorytcellspatient001,0.961538461538462
effectortcellspatient101,effectortcellspatient001,0.958333333333333
macrophagespatient101,macrophagespatient001,0.952380952380952
endothelialcellspatient101,endothelialcellspatient001,0.961538461538462
fibroblastpatient101,fibroblastpatient001,0.95
cancercellspatient103,cancercellspatient003,0.952380952380952
regulatorytcellspatient103,regulatorytcellspatient003,0.961538461538462
effectortcellspatient103,effectortcellspatient003,0.958333333333333
macrophagespatient103,macrophagespatient003,0.952380952380952
endothelialcellspatient103,endothelialcellspatient003,0.961538461538462
fibroblastpatient103,fibroblastpatient003,0.95
cancercellspatient111,cancercellspatient114,0.952380952380952
regulatorytcellspatient111,regulatorytcellspatient114,0.961538461538462
effectortcellspatient111,effectortcellspatient114,0.958333333333333
macrophagespatient111,macrophagespatient114,0.952380952380952
endothelialcellspatient111,endothelialcellspatient114,0.961538461538462
fibroblastpatient111,fibroblastpatient114,0.95
cancercellspatient115,cancercellspatient114,0.952380952380952
regulatorytcellspatient115,regulatorytcellspatient114,0.961538461538462
effectortcellspatient115,effectortcellspatient114,0.958333333333333
macrophagespatient115,macrophagespatient114,0.952380952380952
endothelialcellspatient115,endothelialcellspatient114,0.961538461538462
fibroblastpatient115,fibroblastpatient114,0.95
cancercellspatient122,cancercellspatient128,0.952380952380952
regulatorytcellspatient122,regulatorytcellspatient128,0.961538461538462
effectortcellspatient122,effectortcellspatient128,0.958333333333333
macrophagespatient122,macrophagespatient128,0.952380952380952
endothelialcellspatient122,endothelialcellspatient128,0.961538461538462
fibroblastpatient122,fibroblastpatient128,0.95
cancercellspatient132,cancercellspatient232,0.952380952380952
regulatorytcellspatient132,regulatorytcellspatient232,0.961538461538462
effectortcellspatient132,effectortcellspatient232,0.958333333333333
macrophagespatient132,macrophagespatient232,0.952380952380952
endothelialcellspatient132,endothelialcellspatient232,0.961538461538462
fibroblastpatient132,fibroblastpatient232,0.95
cancercellspatient143,cancercellspatient043,0.952380952380952
regulatorytcellspatient143,regulatorytcellspatient043,0.961538461538462
effectortcellspatient143,effectortcellspatient043,0.958333333333333
macrophagespatient143,macrophagespatient043,0.952380952380952
endothelialcellspatient143,endothelialcellspatient043,0.961538461538462
fibroblastpatient143,fibroblastpatient043,0.95
cancercellspatient160,cancercellspatient161,0.952380952380952
regulatorytcellspatient160,regulatorytcellspatient161,0.961538461538462
effectortcellspatient160,effectortcellspatient161,0.958333333333333
macrophagespatient160,macrophagespatient161,0.952380952380952
