Cancer_Cells_Mean,Regulatory_T_Cells_Mean,Effector_T_Cells_Mean,Macrophages_Mean,Endothelial_Cells_Mean,Fibroblast_Mean,Survival
44.38236842,5.790526316,18.99184211,8.761578947,3.693026316,19.83076316,PCR
42.60114337,4.980622224,14.68027624,7.606585434,2.970177817,14.4217797,PCR
39.94501141,4.439512022,12.09019088,6.572257229,2.471306883,11.07277147,PCR
36.98236938,4.052069256,10.40403076,5.712376182,2.112641638,8.93881863,PCR
33.9983606,3.761683869,9.242132447,5.027167536,1.847632011,7.540587763,PCR
31.12168665,3.536715829,8.429994295,4.495584383,1.652996388,6.634756363,PCR
28.43531457,3.357953978,7.82188711,4.091660589,1.517632817,6.047049041,PCR
25.98104393,3.212774827,7.381557784,3.782649552,1.429414677,5.710199538,PCR
23.77297208,3.092608799,7.060284912,3.533588454,1.372245931,5.515376963,PCR
21.80662836,2.994042671,6.860537796,3.323586175,1.342016355,5.446511827,PCR
20.06402112,2.909466825,6.738862798,3.13643417,1.321400108,5.442840938,PCR
18.5305278,2.837255561,6.689635713,2.962443376,1.311553345,5.500693458,PCR
17.17708369,2.77323201,6.691299121,2.794863018,1.307450326,5.581320981,PCR
15.95789863,2.717826731,6.761497201,2.650576749,1.32312412,5.716513891,PCR
14.94427554,2.669699764,6.881763654,2.505101741,1.331182798,5.856353853,PCR
14.05106629,2.628375507,7.044473097,2.376276357,1.34890406,6.022808484,PCR
13.27754098,2.590735942,7.247352551,2.259130151,1.369331614,6.20542219,PCR
12.6032669,2.556697249,7.495311723,2.170587804,1.411784111,6.421282378,PCR
12.02518587,2.522333614,7.762299361,2.066831834,1.426520223,6.632059297,PCR
11.53924651,2.494950284,8.067693269,1.974760364,1.450604423,6.865308296,PCR
11.08052136,2.464879654,8.404728033,1.895044153,1.471110103,7.116677044,PCR
10.67513944,2.433209952,8.760798906,1.826297643,1.50026954,7.376319936,PCR
10.30852249,2.396852477,9.161862367,1.772567131,1.539734446,7.676507344,PCR
9.978863098,2.362894827,9.593432854,1.73402802,1.572657062,8.003575593,PCR
9.694369954,2.326628796,10.03038328,1.695148667,1.593481305,8.333368239,PCR
9.445538986,2.283406696,10.49075959,1.671565071,1.613979262,8.694322146,PCR
9.233229708,2.245611199,10.98411622,1.660261111,1.648314425,9.097398682,PCR
9.020056746,2.202063634,11.46578228,1.655346921,1.67090959,9.500165764,PCR
8.828546323,2.167601419,11.94792036,1.664702088,1.704106765,9.919174045,PCR
8.661233525,2.139975312,12.43217991,1.692075503,1.74574518,10.35837901,PCR
8.490410255,2.097496063,12.88556082,1.723666524,1.764793028,10.79848799,PCR
8.357601199,2.061168008,13.31823108,1.776476467,1.776937523,11.24994903,PCR
8.216101809,2.013210131,13.70588889,1.841232988,1.77869455,11.68606712,PCR
8.102050451,1.980410312,14.0638617,1.94620888,1.798464238,12.13300231,PCR
7.984071382,1.952099278,14.37372278,2.067707308,1.806297498,12.56687407,PCR
7.902914804,1.921160273,14.61884509,2.210524891,1.823998206,12.97635686,PCR
7.825716054,1.905506881,14.81085272,2.364328511,1.837396498,13.35019923,PCR
7.763468578,1.885823257,14.99244254,2.522780918,1.85211567,13.72890099,PCR
7.747270203,1.868318476,15.13498733,2.656974344,1.861313002,14.06120497,PCR
7.760558394,1.834347489,15.27910481,2.779168148,1.878719984,14.38326604,PCR
7.932318881,1.825241629,15.39096426,2.867577097,1.884619626,14.64361524,PCR
8.010006469,1.812096614,15.50594251,2.91901297,1.889683909,14.88070614,PCR
8.09107393,1.787286711,15.63931424,2.940425674,1.891980456,15.10380809,PCR
8.179215574,1.763744227,15.77102919,2.929171969,1.903323776,15.30242914,PCR
8.278776802,1.75604507,15.91704491,2.899079919,1.91242054,15.50214427,PCR
8.314512092,1.735470403,16.10034438,2.85286692,1.925702979,15.73396876,PCR
8.355109991,1.733096986,16.28682228,2.79682618,1.958080178,15.97300023,PCR
8.349996784,1.717498246,16.5001195,2.743437658,1.999759751,16.23803009,PCR
8.362498671,1.725224527,16.70093466,2.683839208,2.036855254,16.48542952,PCR
8.383844172,1.72234458,16.90792644,2.620345335,2.084968902,16.72561262,PCR
8.429907564,1.733004465,17.12817735,2.566631042,2.111674706,16.964014,PCR
8.48008418,1.715527462,17.369388,2.535577227,2.083461824,17.20178349,PCR
8.554764844,1.695068636,17.60265213,2.491527864,2.065439125,17.41900208,PCR
8.65154213,1.681081044,17.78761186,2.43897199,2.042861465,17.56614223,PCR
8.734261131,1.666504292,17.99787696,2.407362709,2.033841581,17.72869576,PCR
8.79178663,1.63708328,18.17920178,2.363706627,2.006093323,17.85926175,PCR
8.874523662,1.632357051,18.40665282,2.340064479,2.028694476,18.03270397,PCR
8.916447148,1.617152061,18.60281724,2.32487855,2.015312825,18.15854746,PCR
8.959069107,1.588989102,18.76004639,2.305333562,2.016293453,18.22911618,PCR
9.019650078,1.583233586,18.95233631,2.306481848,2.021351878,18.31665582,PCR
9.041636217,1.578816435,19.10250391,2.320188348,2.030198751,18.35297947,PCR
9.033090046,1.561347514,19.21174975,2.322649455,2.018963277,18.36705362,PCR
8.949624621,1.545920098,19.3115609,2.335865355,2.011554323,18.40784662,PCR
8.837475583,1.53318408,19.48378336,2.383272976,2.034498018,18.56131648,PCR
8.706653477,1.522200576,19.57523329,2.407451664,2.014757443,18.66926059,PCR
8.526902919,1.506139136,19.68901438,2.454464875,2.020697271,18.8221443,PCR
8.372863089,1.499133929,19.85874602,2.512017664,2.033302589,19.05004883,PCR
8.222634823,1.496257749,19.93112936,2.556570767,2.038052303,19.18923698,PCR
8.054746148,1.475906894,20.02579421,2.615794217,2.026542133,19.35683723,PCR
7.90259746,1.472192277,20.09086259,2.663583475,2.019629665,19.51090155,PCR
7.749602307,1.461000783,20.15772604,2.713802514,2.012902222,19.69081381,PCR
7.558882446,1.443133961,20.26218388,2.781514446,2.006056579,19.93405051,PCR
7.37230306,1.424573499,20.44282042,2.856412651,2.01717061,20.29065089,PCR
