PCR_Name,RD_Name,Similarity
cancercells009,cancercells029,0.928571428571429
regulatorytcells009,regulatorytcells029,0.947368421052632
effectortcells009,effectortcells029,0.941176470588235
macrophages009,macrophages029,0.928571428571429
endothelialcells009,endothelialcells029,0.947368421052632
fibroblast009,fibroblast029,0.923076923076923
cancercells013,cancercells010,0.928571428571429
regulatorytcells013,regulatorytcells010,0.947368421052632
effectortcells013,effectortcells010,0.941176470588235
macrophages013,macrophages010,0.928571428571429
endothelialcells013,endothelialcells010,0.947368421052632
fibroblast013,fibroblast010,0.923076923076923
cancercells022,cancercells025,0.928571428571429
regulatorytcells022,regulatorytcells025,0.947368421052632
effectortcells022,effectortcells025,0.941176470588235
macrophages022,macrophages025,0.928571428571429
endothelialcells022,endothelialcells025,0.947368421052632
fibroblast022,fibroblast025,0.923076923076923
cancercells023,cancercells025,0.928571428571429
regulatorytcells023,regulatorytcells025,0.947368421052632
effectortcells023,effectortcells025,0.941176470588235
macrophages023,macrophages025,0.928571428571429
endothelialcells023,endothelialcells025,0.947368421052632
fibroblast023,fibroblast025,0.923076923076923
cancercells042,cancercells040,0.928571428571429
regulatorytcells042,regulatorytcells040,0.947368421052632
effectortcells042,effectortcells040,0.941176470588235
macrophages042,macrophages040,0.928571428571429
endothelialcells042,endothelialcells040,0.947368421052632
fibroblast042,fibroblast040,0.923076923076923
cancercells056,cancercells086,0.928571428571429
regulatorytcells056,regulatorytcells086,0.947368421052632
effectortcells056,effectortcells086,0.941176470588235
macrophages056,macrophages086,0.928571428571429
endothelialcells056,endothelialcells086,0.947368421052632
fibroblast056,fibroblast086,0.923076923076923
cancercells079,cancercells029,0.928571428571429
regulatorytcells079,regulatorytcells029,0.947368421052632
effectortcells079,effectortcells029,0.941176470588235
macrophages079,macrophages029,0.928571428571429
endothelialcells079,endothelialcells029,0.947368421052632
fibroblast079,fibroblast029,0.923076923076923
cancercells081,cancercells041,0.928571428571429
regulatorytcells081,regulatorytcells041,0.947368421052632
effectortcells081,effectortcells041,0.941176470588235
macrophages081,macrophages041,0.928571428571429
endothelialcells081,endothelialcells041,0.947368421052632
fibroblast081,fibroblast041,0.923076923076923
cancercells084,cancercells074,0.928571428571429
regulatorytcells084,regulatorytcells074,0.947368421052632
effectortcells084,effectortcells074,0.941176470588235
macrophages084,macrophages074,0.928571428571429
endothelialcells084,endothelialcells074,0.947368421052632
fibroblast084,fibroblast074,0.923076923076923
cancercells096,cancercells086,0.928571428571429
regulatorytcells096,regulatorytcells086,0.947368421052632
effectortcells096,effectortcells086,0.941176470588235
macrophages096,macrophages086,0.928571428571429
endothelialcells096,endothelialcells086,0.947368421052632
fibroblast096,fibroblast086,0.923076923076923
cancercells097,cancercells047,0.928571428571429
regulatorytcells097,regulatorytcells047,0.947368421052632
effectortcells097,effectortcells047,0.941176470588235
macrophages097,macrophages047,0.928571428571429
endothelialcells097,endothelialcells047,0.947368421052632
fibroblast097,fibroblast047,0.923076923076923
cancercells109,cancercells102,0.928571428571429
regulatorytcells109,regulatorytcells102,0.947368421052632
effectortcells109,effectortcells102,0.941176470588235
macrophages109,macrophages102,0.928571428571429
endothelialcells109,endothelialcells102,0.947368421052632
fibroblast109,fibroblast102,0.923076923076923
cancercells112,cancercells102,0.928571428571429
regulatorytcells112,regulatorytcells102,0.947368421052632
effectortcells112,effectortcells102,0.941176470588235
macrophages112,macrophages102,0.928571428571429
endothelialcells112,endothelialcells102,0.947368421052632
fibroblast112,fibroblast102,0.923076923076923
cancercells113,cancercells193,0.928571428571429
regulatorytcells113,regulatorytcells193,0.947368421052632
effectortcells113,effectortcells193,0.941176470588235
macrophages113,macrophages193,0.928571428571429
endothelialcells113,endothelialcells193,0.947368421052632
fibroblast113,fibroblast193,0.923076923076923
cancercells121,cancercells127,0.928571428571429
regulatorytcells121,regulatorytcells127,0.947368421052632
effectortcells121,effectortcells127,0.941176470588235
macrophages121,macrophages127,0.928571428571429
endothelialcells121,endothelialcells127,0.947368421052632
fibroblast121,fibroblast127,0.923076923076923
cancercells123,cancercells127,0.928571428571429
regulatorytcells123,regulatorytcells127,0.947368421052632
effectortcells123,effectortcells127,0.941176470588235
macrophages123,macrophages127,0.928571428571429
endothelialcells123,endothelialcells127,0.947368421052632
fibroblast123,fibroblast127,0.923076923076923
cancercells152,cancercells102,0.928571428571429
regulatorytcells152,regulatorytcells102,0.947368421052632
effectortcells152,effectortcells102,0.941176470588235
macrophages152,macrophages102,0.928571428571429
endothelialcells152,endothelialcells102,0.947368421052632
fibroblast152,fibroblast102,0.923076923076923
cancercells153,cancercells156,0.928571428571429
regulatorytcells153,regulatorytcells156,0.947368421052632
effectortcells153,effectortcells156,0.941176470588235
macrophages153,macrophages156,0.928571428571429
endothelialcells153,endothelialcells156,0.947368421052632
fibroblast153,fibroblast156,0.923076923076923
cancercells158,cancercells138,0.928571428571429
regulatorytcells158,regulatorytcells138,0.947368421052632
effectortcells158,effectortcells138,0.941176470588235
macrophages158,macrophages138,0.928571428571429
endothelialcells158,endothelialcells138,0.947368421052632
fibroblast158,fibroblast138,0.923076923076923
cancercells184,cancercells188,0.928571428571429
regulatorytcells184,regulatorytcells188,0.947368421052632
effectortcells184,effectortcells188,0.941176470588235
macrophages184,macrophages188,0.928571428571429
endothelialcells184,endothelialcells188,0.947368421052632
fibroblast184,fibroblast188,0.923076923076923
cancercells187,cancercells127,0.928571428571429
regulatorytcells187,regulatorytcells127,0.947368421052632
effectortcells187,effectortcells127,0.941176470588235
macrophages187,macrophages127,0.928571428571429
endothelialcells187,endothelialcells127,0.947368421052632
fibroblast187,fibroblast127,0.923076923076923
cancercells189,cancercells129,0.928571428571429
regulatorytcells189,regulatorytcells129,0.947368421052632
effectortcells189,effectortcells129,0.941176470588235
macrophages189,macrophages129,0.928571428571429
endothelialcells189,endothelialcells129,0.947368421052632
fibroblast189,fibroblast129,0.923076923076923
cancercells192,cancercells102,0.928571428571429
regulatorytcells192,regulatorytcells102,0.947368421052632
effectortcells192,effectortcells102,0.941176470588235
macrophages192,macrophages102,0.928571428571429
endothelialcells192,endothelialcells102,0.947368421052632
fibroblast192,fibroblast102,0.923076923076923
cancercells197,cancercells127,0.928571428571429
regulatorytcells197,regulatorytcells127,0.947368421052632
effectortcells197,effectortcells127,0.941176470588235
macrophages197,macrophages127,0.928571428571429
endothelialcells197,endothelialcells127,0.947368421052632
fibroblast197,fibroblast127,0.923076923076923
cancercells200,cancercells240,0.928571428571429
regulatorytcells200,regulatorytcells240,0.947368421052632
effectortcells200,effectortcells240,0.941176470588235
