Cancer_Cells,Regulatory_T_Cells,Effector_T_Cells,Macrophages,Endothelial_Cells,Fibroblast
79.2,4.03,6.17,2.21,3.57,9.82
78.52468316,4.174984961,1.352434671,1.803336285,2.65845254,2.209533142
75.03018947,4.35930746,1.025248199,1.443533069,1.976843055,1.025076063
71.24626478,4.541590407,1.17965623,1.166372227,1.493109354,1.17936462
67.62897685,4.720761194,1.075332857,0.951936788,1.144455562,1.075533771
64.19758114,4.896401634,1.386353555,0.784457794,0.888595581,1.389205634
60.95797737,5.068046039,1.033808715,0.652405051,0.697867657,1.034172649
57.90812618,5.235225455,1.077331502,0.547319979,0.55374523,1.078469891
55.04632638,5.396266932,1.002625501,0.500222244,0.500296889,1.00267209
52.37875764,5.5533632,1.322680499,0.527801607,0.537769446,1.329387552
49.89147056,5.704793881,1.245994237,0.521520281,0.529645633,1.251757887
47.56764343,5.850249575,1.177107198,0.515742435,0.521991906,1.18175049
45.39252355,5.989494647,1.115323476,0.510421443,0.514764924,1.11868576
43.35870299,6.117801495,1.006011942,0.50055233,0.500793253,1.006205112
41.44297656,6.244422634,1.006984009,0.500653594,0.5009527,1.007232199
39.64113984,6.364532272,1.074146252,0.507081353,0.510483941,1.077061861
37.94396369,6.478147132,1.080317829,0.507828211,0.511765681,1.083787197
36.34319357,6.585334254,1.231546465,0.523118741,0.535348856,1.24263414
34.8314408,6.686206103,1.101278477,0.51031172,0.515979963,1.106522015
33.40205163,6.780912734,1.359829973,0.537723228,0.559600909,1.380609922
32.0490037,6.869635093,1.237217889,0.525406874,0.540690539,1.251981071
30.76684166,6.952580018,1.126513912,0.513855048,0.522494565,1.134990876
29.55061305,7.029974417,1.026909344,0.503016174,0.504964677,1.028849242
28.39581229,7.102059786,1.233284765,0.527072996,0.545451768,1.251941318
27.29833132,7.169087762,1.139490812,0.51660705,0.528270353,1.151479184
26.25441604,7.23131613,1.055264058,0.506757289,0.511664411,1.060367396
25.26062846,7.289005048,1.221940276,0.52825356,0.549760621,1.244659837
24.31381421,7.34241387,1.142862361,0.518734788,0.533463871,1.158580689
23.41107505,7.391798761,1.072092394,0.509752694,0.51766814,1.080620876
22.54973804,7.43741019,1.215209644,0.530548642,0.556500757,1.243539157
21.72734138,7.479491897,1.332087012,0.549641496,0.593744503,1.380814028
20.94160039,7.51827848,1.098187179,0.514994459,0.52854872,1.113229631
20.2023792,7.54919657,1.176672778,0.532880341,0.559745202,1.20309273
19.48843974,7.580095846,1.000921693,0.500151922,0.50029804,1.001086554
18.79997579,7.6108703,1.019051788,0.503317584,0.506612095,1.022791762
18.14511443,7.637612348,1.075324827,0.515193971,0.529376904,1.090499629
17.51511476,7.663008477,1.004335189,0.500839977,0.501728383,1.005357736
16.90933383,7.687006804,1.030684496,0.506362339,0.513329709,1.038760817
